hierarchy:id:name
CRM:4:Collection,CRM:408:Direct Debit
CRM:4:Collection,CRM:409:Advanced payments Under Reserve
CRM:4:Collection,CRM:410:Other
CRM:4:Collection,CRM:520:Credit Card
CRM:4:Collection,CRM:736:Intraday Cash Pool Limit
CRM:4:Collection,CRM:738:CLS 3P Net Position
CRM:4:Collection,CRM:752:ACH Credit Orig-DO NOT USE MIGRATED TO SETTLEMENT RISK
CRM:4:Collection,CRM:754:BACS Direct Debit
CRM:4:Collection,CRM:780:Cheque Encashment
CRM:4:Collection,CRM:803:FX4Cash
CRM:4:Collection,CRM:804:Merchant acquiring credit card trx. processing
CRM:4:Collection,CRM:805:Merchant acquiring future business credit card trx. process
CRM:4:Collection,CRM:806:Structured Underwriting (Uncommitted)
CRM:4:Collection,CRM:813:ACH Direct Debit
CRM:4:Collection,CRM:814:Paying Agent Advance
CRM:4:Collection,CRM:828:Dilution Risk
CRM:B:Below The Line,CRM:5:Commodity Inventory
CRM:5:Commodity Inventory,CRM:862:Precious Met Invt - Below the Line
CRM:5:Commodity Inventory,CRM:864:Base Metals Invt - Below the Line
CRM:5:Commodity Inventory,CRM:866:Metal Leases Invt - Below the Line
CRM:5:Commodity Inventory,CRM:868:Natural Gas Invt - Below the Line
CRM:5:Commodity Inventory,CRM:870:NGL Invt - Below the Line
CRM:5:Commodity Inventory,CRM:872:Oil Invt - Below the Line
CRM:5:Commodity Inventory,CRM:874:Refined Prod Invt - Below the Line
CRM:5:Commodity Inventory,CRM:876:Uranium Invt - Below the Line
CRM:B:Below The Line,CRM:6:Inventory
CRM:6:Inventory,CRM:38:Inventory - Commercial Lending
CRM:38:Inventory - Commercial Lending,CRM:755:Berkshire CMBS Whole Loans
CRM:38:Inventory - Commercial Lending,CRM:756:CMBS Mezzanine Loans
CRM:38:Inventory - Commercial Lending,CRM:757:CMBS Whole Loans
CRM:6:Inventory,CRM:601:TCP - Senior Unsecured
CRM:6:Inventory,CRM:817:TCP - Senior secured
CRM:6:Inventory,CRM:818:TCP - Subordinated
CRM:6:Inventory,CRM:836:Traded Mortgages
CRM:6:Inventory,CRM:837:Traded CMBS Loans
CRM:6:Inventory,CRM:838:Traded Loans
CRM:6:Inventory,CRM:842:dbMortgages Mortgage Loan
CRM:6:Inventory,CRM:844:Traded Loans Purchased
CRM:6:Inventory,CRM:845:Credit Card Receivables
CRM:6:Inventory,CRM:846:MortgageIT
CRM:6:Inventory,CRM:850:Malaysian Housing Loans
CRM:6:Inventory,CRM:851:Precious Metals
CRM:6:Inventory,CRM:861:Precious Met Invt - Above the Line
CRM:6:Inventory,CRM:863:Base Metals Invt - Above the Line
CRM:6:Inventory,CRM:865:Metal Leases Invt - Above the Line
CRM:6:Inventory,CRM:867:Natural Gas Invt - Above the Line
CRM:6:Inventory,CRM:869:NGL Invt - Above the Line
CRM:6:Inventory,CRM:871:Oil Invt - Above the Line
CRM:6:Inventory,CRM:873:Refined Prod Invt - Above the Line
CRM:6:Inventory,CRM:875:Uranium Invt - Above the Line
CRM:B:Below The Line,CRM:7:Joint Obligation Risk
CRM:7:Joint Obligation Risk,CRM:39:Documentary LC Confirmed
CRM:39:Documentary LC Confirmed,CRM:849:Documentary LC accepted as collateral for margin trading
CRM:7:Joint Obligation Risk,CRM:40:Guarantees/SBLC Issued
CRM:40:Guarantees/SBLC Issued,CRM:848:Standby LC accepted as collateral for margin trading
CRM:7:Joint Obligation Risk,CRM:511:FI/Sovg Guarantee/Indemnity received
CRM:7:Joint Obligation Risk,CRM:775:Export Financing FI/Sovg Guarantee/Indemnity received
CRM:B:Below The Line,CRM:8:Settlement
CRM:8:Settlement,CRM:26:FX Settlement
CRM:8:Settlement,CRM:27:Free Settlement
CRM:8:Settlement,CRM:28:Pre Settlement
CRM:8:Settlement,CRM:29:Fixed Income Free Settlement
CRM:8:Settlement,CRM:198:ACH Credit Origination
CRM:8:Settlement,CRM:199:PB FX Settlement
CRM:8:Settlement,CRM:202:Phy Precious Metals Sett (CFC)
CRM:8:Settlement,CRM:213:SBL Settlement
CRM:8:Settlement,CRM:654:Future Advising Payments
CRM:8:Settlement,CRM:674:ITF Free Settlement
CRM:8:Settlement,CRM:737:CLS 3P Daily Market
CRM:8:Settlement,CRM:739:ITF Max 5 Day Settlement
CRM:8:Settlement,CRM:743:Non-CCP Clearing
CRM:8:Settlement,CRM:753:BACS Direct Credit Weekly
CRM:8:Settlement,CRM:767:Depositary and Clearing Centre Intraday
CRM:8:Settlement,CRM:801:TSS Intraday Advanced Limit
CRM:8:Settlement,CRM:802:CREST Settlement
CRM:8:Settlement,CRM:852:BACS Direct Credit Daily
CRM:8:Settlement,CRM:853:BACS Direct Credit Monthly
CRM:8:Settlement,CRM:877:Physical Dry Bulk Settlement
CRM:8:Settlement,CRM:878:Physical Base Metals Settlement
CRM:8:Settlement,CRM:879:Physical Energy/Elec. Settlement
CRM:8:Settlement,CRM:880:Physical Precious Met Settlement
